"SCS","ISC","NRUSC","tRU","requiredSNR","IRU","NRU","ITBS","Qm","TBS","numTrBlks","NRep","SNR","BLER","TTI","pathloss","datarate","bandwidth"
3750,0,1,32,-5.7403,3,4,4,2,328,100,2,0,0.04,256,158,1.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-1,0,512,159,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-2,0,512,160,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-3,0.02,512,161,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-4,0.01,512,162,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-5,0.04,512,163,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-6,0.01,512,164,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,4,-7,0.04,512,165,0.640625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,14,0,128,144,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,13,0.01,128,145,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,12,0.01,128,146,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,11,0.02,128,147,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,10,0.01,128,148,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,9,0.01,128,149,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,8,0.05,128,150,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,7,0.03,128,151,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,6,0.01,128,152,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,1,5,0.06,128,153,3.1875,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,4,0.03,256,154,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,3,0.01,256,155,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,2,0.03,256,156,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,1,0.07,256,157,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,0,0.06,256,158,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,-1,0.08,256,159,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,-2,0.05,256,160,1.59375,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,408,100,2,-3,0.05,256,161,1.59375,"3,75"
